EB_EB_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2019-04-07 0.482813690913957 0.5 NA NA 0.529478242595384 0.7 0.682861597587325 0.9 0.527124036372033 0.9
2019-04-08 0.488173038304129 0.5 NA NA 0.535962539332628 0.7 0.692960895322467 0.835416666666667 0.530535812689522 0.9
2019-04-09 0.485880247518394 0.5 NA NA 0.533614296643415 0.697916666666667 0.686834400644817 0.854166666666667 0.526754110093168 0.9
2019-04-10 0.489611131466781 0.5 NA NA 0.534102141164008 0.697916666666667 0.69090701387442 0.854166666666667 0.526478077688127 0.9
2019-04-11 0.478429573290541 0.5 NA NA 0.51810862633935 0.7 0.68384661280268 0.822916666666667 0.519688762147776 0.9
2019-04-12 0.455998197469838 0.5 NA NA 0.495760305562751 0.7 0.663081892385221 0.872916666666667 0.505095746185573 0.9
2019-04-13 0.455520846369363 0.5 -0.13962932518602 NA 0.495903096602873 0.7 0.659610854022251 0.9 0.504846077451368 0.9
2019-04-14 0.4506981520485 0.5 -0.13962932518602 NA 0.491187243271532 0.7 0.654285482951433 0.897916666666667 0.502117412630123 0.9
2019-04-15 0.451014091757631 0.5 0.165076193478967 0.9 0.493455137479801 0.704166666666667 0.656615302875743 0.885416666666667 0.504463997531268 0.9375
2019-04-16 0.470337358489474 0.5 0.421445718802354 0.953191489361702 0.516809745745065 0.7 0.677715484509563 0.870833333333333 0.51944144319899 0.9
2019-04-17 0.480926132214986 0.5 0.429904916331159 0.922916666666667 0.53102811717168 0.7 0.687737189774906 0.858333333333333 0.527503272619954 0.9
2019-04-18 0.482215947756112 0.5 0.432300671446063 0.9 0.536559266392945 0.7 0.688465942195001 0.83125 0.528856651648277 0.9
2019-04-19 0.477710445755443 0.870833333333333 0.435126124738562 0.98936170212766 0.544869875595902 0.7 0.68762837273032 0.81875 0.530741007422545 0.866666666666667
2019-04-20 0.422660591890336 6.85625 0.401611536664166 2.9875 0.524868883090312 3.575 0.677239854399085 2.06666666666667 0.524194970972416 1.19166666666667
2019-04-21 0.39685975859211 10.0958333333333 0.389930102661805 5.38541666666667 0.477549823906111 7.3375 0.646256531178076 7.74791666666667 0.495416499402484 3.37083333333333
