FE_GW_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2016-10-03 0.326866082559123 13.0173611111111 0.437995684655766 13.7083333333333 0.342986698302998 13.2361111111111 0.409041376669512 13.3756944444444 0.424408747078684 14.2527777777778
2016-10-04 0.350251551794985 12.0263888888889 0.436586463849409 13.1291666666667 0.379351716271271 12.4708333333333 0.430974696721406 12.6013888888889 0.422216435940827 13.7493055555556
2016-10-05 0.367187078241958 9.8375 0.438851865663042 11.9645833333333 0.383662184315643 10.6215277777778 0.437822162134143 10.8666666666667 0.428299884975757 12.7916666666667
2016-10-06 0.359880209153168 9.61805555555556 0.440274712417661 11.10625 0.367887186102169 9.99027777777778 0.424921629967133 10.2493055555556 0.431475283744397 11.8277777777778
2016-10-07 0.355108103115806 10.4368055555556 0.441259653482419 11.3486111111111 0.358341124313332 10.7541666666667 0.418991469905684 11.0256944444444 0.430490806583175 11.9958333333333
2016-10-08 0.372346288262808 10.3756944444444 0.442567906259696 11.4659722222222 0.385572229844903 10.7861111111111 0.445833165398359 11.0520833333333 0.429050700502504 12.075
2016-10-09 0.375894506645638 9.82777777777778 0.446515916216932 11.075 0.386711451944585 10.3951388888889 0.445823017195178 10.6791666666667 0.435893659592758 11.7916666666667
2016-10-10 0.368903840831116 8.81875 0.446991232793131 10.3652777777778 0.376671839993914 9.40069444444444 0.443764184235741 9.68402777777778 0.438428256401254 11.1541666666667
2016-10-11 0.368863823674072 9.075 0.447047488432871 10.3472222222222 0.375132631017314 9.51944444444444 0.4411030262259 9.75763888888889 0.435896985095631 11.0340277777778
2016-10-12 0.374679531581429 8.38263888888889 0.44798538700473 9.99722222222222 0.384904028404548 8.99722222222222 0.446595328279371 9.33055555555556 0.43710721886113 10.7895833333333
2016-10-13 0.370174491919056 7.32291666666667 0.448565993100708 9.03263888888889 0.377957379586507 7.94652777777778 0.443741624381265 8.39444444444444 0.441724975357928 9.92013888888889
2016-10-14 0.368875059491268 8.97986111111111 0.449913949762605 9.60138888888889 0.373983663591637 9.09236111111111 0.436466519098504 9.31736111111111 0.441435882859666 10.1458333333333
2016-10-15 0.367975500081241 11.1493055555556 0.450428983853381 10.7055555555556 0.370768113895862 11.0118055555556 0.43812016211631 11.3118055555556 0.441702605451088 11.0979166666667
