GW_EB_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2018-04-28 0.120242619006619 14.4604166666667 0.188732248407469 12.6520833333333 0.175034294389652 12.6166666666667 0.200986904275559 11.9354166666667 0.251076159853377 11.4729166666667
2018-04-29 0.112663181186152 15.1625 0.185554094922992 13.33125 0.156843230232821 13.5604166666667 0.192266263080402 13.0416666666667 0.237148791253323 12.2
2018-04-30 0.105986619777545 15.0895833333333 0.180645619757247 13.3770833333333 0.147897557152619 12.975 0.185095335605058 13.2604166666667 0.224294209570839 12.3916666666667
2018-05-01 0.100804481320105 11.5104166666667 0.175752936596343 12.175 0.14241883083149 11.2083333333333 0.1794246351242 11.08125 0.216673777436197 11.4770833333333
2018-05-02 0.101120954820825 13.58125 0.173637640662104 12.1270833333333 0.141310560423916 12.3645833333333 0.178728806482026 12.9229166666667 0.213011749595343 11.7041666666667
2018-05-03 0.0990208667435706 12.9145833333333 0.171239067932717 12.4041666666667 0.139440373693837 12.6645833333333 0.176351800083913 12.8125 0.208923644272133 12.1125
2018-05-04 0.102058472143865 12.7916666666667 0.170031006318584 12.30625 0.147516632146935 12.7833333333333 0.195403763763015 12.80625 0.213566007564955 12.1625
2018-05-05 0.104128485822098 15.525 0.170377968443005 13.3229166666667 0.153874827251996 14.1979166666667 0.190796726112653 14.2041666666667 0.212477825596288 12.8041666666667
2018-05-06 0.103038128004726 17.3729166666667 0.169747496446588 14.7416666666667 0.152261880341817 14.8291666666667 0.184150282866764 14.80625 0.208296671758595 13.5625
2018-05-07 0.098101845038932 16.1625 0.165364274882841 14.2979166666667 0.138064508689448 13.2666666666667 0.175335096323352 12.9833333333333 0.19955297667534 12.6729166666667
2018-05-08 0.09248874404438 15.925 0.160279367636371 14.2604166666667 0.131400774815405 13.55625 0.169879173858965 13.2583333333333 0.191718980580078 12.6520833333333
2018-05-09 0.0882758993446491 13.18125 0.156036542286151 13.1916666666667 0.140362285841651 12.1958333333333 0.171738715531295 11.3791666666667 0.186530551044115 11.9125
2018-05-10 0.0912441997883052 12.975 0.152941466109103 12.4583333333333 0.178493827832911 12.4875 0.196893241965153 12.0291666666667 0.187795493183937 11.7333333333333
2018-05-11 0.0949368848250794 16.3166666666667 0.149127951483435 13.8166666666667 0.179793994661179 14.0041666666667 0.206425512565089 13.5270833333333 0.188826305690583 12.5666666666667
2018-05-12 0.0935627948327644 16.5020833333333 0.149856260433539 14.5375 0.160404726518977 14.6916666666667 0.188337819841384 14.1 0.187397250591638 13.1958333333333
2018-05-13 0.0929940661518874 15.775 0.14892742192497 14.4583333333333 0.161967122672206 14.2895833333333 0.181289519887349 13.8541666666667 0.186089306121893 13.2458333333333
2018-05-14 0.114519894468077 15.475 0.157641884559945 14.4520833333333 0.196335320334865 14.74375 0.208787389155155 13.94375 0.209311484190466 13.5145833333333
2018-05-15 0.222982453967422 12.425 0.274712820474477 13.0208333333333 0.271904260479889 12.59375 0.29327792426953 12.2708333333333 0.32054783118816 12.6916666666667
2018-05-16 0.237339776170958 11.8270833333333 0.311472094174191 12.20625 0.285204232193971 12.0895833333333 0.311056797192877 11.78125 0.334878542465094 12.1
2018-05-17 0.240404888030124 13.34375 0.314662550313414 12.58125 0.28495554697601 13.4604166666667 0.313465680198239 13.0291666666667 0.339975240233027 12.53125
2018-05-18 0.24024748708571 14.38125 0.314361447070275 13.53125 0.282485288812682 13.7583333333333 0.311790923954144 13.16875 0.339064373877965 13.00625
2018-05-19 0.256467920602933 12.8333333333333 0.328613343671049 12.9479166666667 0.300092611978109 12.1104166666667 0.325214874027799 11.5458333333333 0.354721879980735 12.1083333333333
