FE_EB_EXdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2017-03-22 NA 8.875 0.322196682795584 5.025 0.413046136705555 4.39270833333333 0.108140143858303 8.68541666666667 0.434516754914509 4.790625
2017-03-23 NA 10.13125 0.35608351991895 5.403125 0.379094250920577 5.10520833333333 NA 10.7416666666667 0.451748786142646 5.0375
2017-03-24 NA 9.09583333333333 0.362375684766044 5.54791666666667 0.319613203455275 4.67708333333333 0.109564281284042 8.9625 0.438487766576446 5.096875
2017-03-25 NA 8.2375 0.353898261554665 5.05729166666667 0.395896018278428 3.96145833333333 0.10745562792053 8.33541666666667 0.427264908449282 4.85416666666667
2017-03-26 NA 7.25625 0.351802014826685 4.69895833333333 0.361138802799092 3.40625 0.104540227311161 7.27916666666667 0.421602144608519 4.45625
2017-03-27 NA 7.15625 0.346912483555606 4.5625 0.300567065907317 3.415625 0.101708616366662 7.35 0.414798378808392 4.296875
2017-03-28 0.108395979428429 8.1625 0.344400299561978 4.98645833333333 0.287860289625536 4.11979166666667 0.0950455647399222 8.38125 0.410406766882422 4.5625
2017-03-29 0.103499538907333 10.00625 0.342871693430776 6.00416666666667 0.264171976656024 5.48854166666667 0.087178764096237 10.1770833333333 0.408409035414492 5.146875
2017-03-30 0.0946453821181423 10.1916666666667 0.337245665684577 6.03125 0.268557847270464 5.40833333333333 0.0777168162165696 10.4583333333333 0.409308212395377 5.45104166666667
2017-03-31 0.0860899176609534 10.7708333333333 0.333362040871362 5.8625 0.283259865303867 5.32604166666667 0.0648074250541174 10.9979166666667 0.398439063191112 5.59375
2017-04-01 0.0771783102244945 10.9041666666667 0.326921014855662 5.86770833333333 0.304238013859954 5.2875 0.0524833596916978 10.5604166666667 0.390651639026263 5.653125
2017-04-02 0.0679668476402916 11.6333333333333 0.319714927433609 6.05520833333333 0.290549605472916 5.68125 0.042263958431193 11.8083333333333 0.382293445119231 5.79895833333333
2017-04-03 0.271937019404335 11.9166666666667 0.464712313993814 11.1816326530612 0.287090271257694 11.7122448979592 0.222675297142523 12.0520833333333 0.445520126472857 10.6979591836735
2017-04-04 0.38316008189559 10.4958333333333 0.478244185179565 10.9208333333333 0.3527651254387 10.0625 0.325441819526487 10.5125 0.452548218440221 10.6041666666667
2017-04-05 0.412795751352118 9.61875 0.533244087573562 9.83958333333333 0.376158538190639 9.46666666666667 0.346973780604377 9.61041666666667 0.464400288633146 9.59791666666667
2017-04-06 0.3868337858666 8.975 0.534359387379469 9.67291666666667 0.365659623947612 8.43958333333333 0.338457050824284 8.72916666666667 0.468492307712506 9.42291666666667
2017-04-07 0.367010137564649 9.33958333333333 0.523403839527363 9.38958333333333 0.3531452569165 9.04583333333333 0.321640963609119 9.26458333333333 0.468200406051739 9.04791666666667
2017-04-08 0.333906983312472 10.075 0.509361636391906 9.90208333333333 0.335557472001514 9.79166666666667 0.302257895024476 10.34375 0.463341068444618 9.60208333333333
2017-04-09 0.310053408053392 10.9770833333333 0.493724812262281 10.5625 0.314864846913303 10.8541666666667 0.272435080085946 11.275 0.456188095086129 10.30625
2017-04-10 0.280430175403797 11.6 0.474729346153365 11.1229166666667 0.286513089844202 11.5833333333333 0.231174520311142 11.75 0.442086171752547 10.80625
2017-04-11 0.259564108297107 10.6354166666667 0.461910107889137 11.0458333333333 0.263797755319623 10.1229166666667 0.212286915603229 10.4395833333333 0.428298886983488 10.7416666666667
2017-04-12 0.246499899537041 10.2541666666667 0.449705913195823 10.2229166666667 0.247725862722052 10.23125 0.20363484955934 10.3770833333333 0.417509978347344 10.01875
2017-04-13 0.229355857166046 9.90625 0.431452081741536 10.49375 0.225012272380547 9.53958333333333 0.18975001975231 9.72708333333333 0.40110314683783 10.2270833333333
2017-04-14 0.221306254745896 9.49166666666667 0.421008914484751 9.79375 0.213958907921831 9.40833333333333 0.187223925139551 9.44791666666667 0.394570243925143 9.60625
2017-04-15 0.212682291893946 10.2208333333333 0.407923443454344 10.15 0.206217156122779 10.0958333333333 0.184202057230099 9.94791666666667 0.387576290468105 9.80625
2017-04-16 0.320786834840958 8.88333333333333 0.440378087943243 9.68541666666667 0.286450059348165 8.06458333333333 0.315641324915962 8.15833333333333 0.436818345202598 9.35208333333333
2017-04-17 0.40276955545944 8.27291666666667 0.55314945896472 8.90208333333333 0.366500005425705 7.66458333333333 0.364905140758508 7.65625 0.554620652095236 8.51458333333333
2017-04-18 0.412450764559093 6.74166666666667 0.557648204650327 7.90416666666667 0.380655960175804 5.96041666666667 0.372871402635289 6.22291666666667 0.575508833593328 7.75208333333333
2017-04-19 0.414315616644482 5.69375 0.562689060271279 6.925 0.37490964520878 5.20208333333333 0.377779846467276 5.64791666666667 0.581967174508866 6.99166666666667
